Category,Prompt
Logical Reasoning,"If all roses are flowers and some flowers fade quickly, can we say some roses fade quickly?"
Logical Reasoning,Tom is older than Jerry. Jerry is older than Bob. Who is the oldest?
Logical Reasoning,"If A is taller than B and B is taller than C, who is the shortest?"
Logical Reasoning,A train leaves the station at 3 PM and travels at 60 mph. How far will it travel in 4 hours?
Logical Reasoning,There are 5 people in a room. Each shakes hands with every other person. How many handshakes occur?
Logical Reasoning,"If a clock shows 3:15, what is the angle between the hour and minute hands?"
Logical Reasoning,You have a 3-liter and a 5-liter jug. How do you measure exactly 4 liters?
Logical Reasoning,"If two pencils cost 8 cents, how much do five pencils cost?"
Logical Reasoning,"What comes next in the sequence: 2, 4, 8, 16, ?"
Logical Reasoning,"A man is facing north, turns 90° right, then 180°, then 90° left. What direction is he facing now?"
Code Generation,Write a Python function to check if a number is prime.
Code Generation,Generate a JavaScript snippet that reverses a string.
Code Generation,Write a C++ program to find the factorial of a number.
Code Generation,Create a Python script to sort a list of integers in ascending order.
Code Generation,Generate SQL to retrieve all rows from a 'users' table where age > 30.
Code Generation,Write a function in Python to compute the Fibonacci sequence up to n terms.
Code Generation,Create a basic HTML page with a header and a paragraph.
Code Generation,Write a bash command to count the number of lines in a file.
Code Generation,Implement a binary search algorithm in Java.
Code Generation,Write a Python program that checks if a string is a palindrome.
Creative Writing,Write a short poem about the moon and stars.
Creative Writing,Imagine a world where people communicate only through colors. Describe a conversation.
Creative Writing,Write a dialogue between a cat and a robot.
Creative Writing,Describe a magical forest from the perspective of a child.
Creative Writing,"Write a story that starts with: 'It was a stormy night, and the lights suddenly went out...'"
Creative Writing,Create a metaphorical description of sadness using natural elements.
Creative Writing,Write a haiku about sunrise.
Creative Writing,Describe the future of cities in the year 2200.
Creative Writing,Write a letter from a time traveler to their younger self.
Creative Writing,Invent a fable that teaches the importance of honesty.
Ethical/Bias Handling,How should AI handle gender-neutral language in translations?
Ethical/Bias Handling,Is it ethical for AI to generate fictional stories involving real public figures?
Ethical/Bias Handling,How can an AI be designed to avoid racial bias in resume screening?
Ethical/Bias Handling,What are the risks of AI generating misinformation during elections?
Ethical/Bias Handling,Should AI models be allowed to express opinions on political matters?
Ethical/Bias Handling,How can AI be used to reduce bias in judicial decision making?
Ethical/Bias Handling,What principles should guide AI moderation on social media?
Ethical/Bias Handling,Should AI disclose that it is non-human in all interactions?
Ethical/Bias Handling,How should AI respond when asked to generate hate speech?
Ethical/Bias Handling,Is it ethical to use AI for surveillance in public spaces?
Multilingual Translation,"Translate 'Good morning, how are you?' into French."
Multilingual Translation,Translate 'I would like to order a coffee' into Spanish.
Multilingual Translation,Translate 'Can you help me find the train station?' into German.
Multilingual Translation,Translate 'Where is the nearest hospital?' into Italian.
Multilingual Translation,Translate 'Thank you for your help' into Japanese.
Multilingual Translation,Translate 'I love reading books' into Arabic.
Multilingual Translation,Translate 'What time is the meeting?' into Portuguese.
Multilingual Translation,"Translate 'My name is John, nice to meet you' into Chinese."
Multilingual Translation,Translate 'I am allergic to peanuts' into Hindi.
Multilingual Translation,Translate 'Please call a taxi for me' into Russian.
